Geneid,Ensembl,Length
AC018755.18,,
AC022405.1,,
AC023491.2,,
AC025048.1,,
AC026369.1,,
AC037482.2,,
AC037482.3,,
AC055733.1,,
AC066615.1,,
AC069063.2,,
AC073333.1,,
AC087762.1,,
AC092159.1,,
AC092718.1,,
AC092881.1,,
AC104981.1,,
AC108925.1,,
AC109829.2,,
AC124312.1,,
AC129492.1,,
AC133551.1,,
AC136352.4,,
AC136612.1,,
AC139026.1,,
AC145212.2,,
AC171558.1,,
AC171558.2,,
AC213203.1,,
AC233755.1,,
AC240274.1,,
AC241377.2,,
AC241585.2,,
AC243586.1,,
AC243687.1,,
AC243734.1,,
AC243756.1,,
AC243790.2,,
AC243829.1,,
AC243906.1,,
AC243945.1,,
AC245100.1,,
ACAA1,ENSG00000060971,34519
ACAA2,ENSG00000167315,31790
ACACA,ENSG00000278540,321845
ACACB,ENSG00000076555,151640
ACAD10,ENSG00000111271,71089
ACAD11,ENSG00000240303,101967
ACAD8,ENSG00000151498,12342
ACAD9,ENSG00000177646,44408
ACADL,ENSG00000115361,38322
ACADM,ENSG00000117054,63145
ACADS,ENSG00000122971,14236
ACADSB,ENSG00000196177,49319
ACADVL,ENSG00000072778,8145
ACAN,ENSG00000157766,71918
ACAP1,ENSG00000072818,18519
ACAP2,ENSG00000114331,168354
ACAP3,ENSG00000131584,17234
ACAT1,ENSG00000075239,32263
ACAT2,ENSG00000120437,17841
ACBD3,ENSG00000182827,42084
ACBD4,ENSG00000181513,11582
ACBD5,ENSG00000107897,74912
ACBD6,ENSG00000230124,233302
ACBD7,ENSG00000176244,13302
ACCS,ENSG00000110455,18326
ACCSL,ENSG00000205126,11997
ACD,ENSG00000102977,3299
ACE,ENSG00000159640,21323
ACE2,ENSG00000130234,112671
ACER1,ENSG00000167769,27471
ACER2,ENSG00000177076,43497
ACER3,ENSG00000078124,165939
ACHE,ENSG00000087085,7029
ACIN1,ENSG00000100813,37054
ACKR1,ENSG00000213088,1933
ACKR2,ENSG00000144648,83389
ACKR3,ENSG00000144476,14667
ACKR4,ENSG00000129048,21698
ACLY,ENSG00000131473,63630
ACMSD,ENSG00000153086,64595
ACO1,ENSG00000122729,70167
ACO2,ENSG00000100412,81444
ACOT1,ENSG00000184227,6654
ACOT11,ENSG00000162390,96936
ACOT12,ENSG00000172497,64330
ACOT13,ENSG00000112304,38145
ACOT2,ENSG00000119673,8039
ACOT4,ENSG00000177465,3894
ACOT6,ENSG00000205669,8944
ACOT7,ENSG00000097021,129500
ACOT8,ENSG00000101473,15697
ACOT9,ENSG00000123130,67080
ACOX1,ENSG00000161533,37953
ACOX2,ENSG00000168306,32844
ACOX3,ENSG00000087008,74866
ACOXL,ENSG00000153093,386025
ACP1,ENSG00000143727,14961
ACP2,ENSG00000134575,10889
ACP5,ENSG00000102575,5341
ACP6,ENSG00000162836,40880
ACPP,,
ACPT,,
ACR,ENSG00000100312,7144
ACRBP,ENSG00000111644,9359
ACRC,,
ACRV1,ENSG00000134940,9353
ACSBG1,ENSG00000103740,78221
ACSBG2,ENSG00000130377,57848
ACSF2,ENSG00000167107,48688
ACSF3,ENSG00000176715,75747
ACSL1,ENSG00000151726,71353
ACSL3,ENSG00000123983,83698
ACSL4,ENSG00000068366,109160
ACSL5,ENSG00000197142,55982
ACSL6,ENSG00000164398,62271
ACSM1,ENSG00000166743,75658
ACSM2A,ENSG00000183747,43658
ACSM2B,ENSG00000066813,40217
ACSM3,ENSG00000005187,187601
ACSM5,ENSG00000183549,32030
ACSS1,ENSG00000154930,52751
ACSS2,ENSG00000131069,55817
ACSS3,ENSG00000111058,324797
ACTA1,ENSG00000143632,4425
ACTA2,ENSG00000107796,56518
ACTB,ENSG00000075624,37494
ACTBL2,ENSG00000169067,2794
ACTC1,ENSG00000159251,5806
ACTG1,ENSG00000184009,14435
ACTG2,ENSG00000163017,27634
ACTL10,ENSG00000288649,1583
ACTL6A,ENSG00000136518,25522
ACTL6B,ENSG00000077080,13362
ACTL7A,ENSG00000187003,1491
ACTL7B,ENSG00000148156,1399
ACTL8,ENSG00000117148,71731
ACTL9,ENSG00000181786,1396
ACTN1,ENSG00000072110,106157
ACTN2,ENSG00000077522,100491
ACTN3,ENSG00000248746,16940
ACTN4,ENSG00000130402,83985
ACTR10,ENSG00000131966,35557
ACTR1A,ENSG00000138107,40864
ACTR1B,ENSG00000115073,8176
ACTR2,ENSG00000138071,43509
ACTR3,ENSG00000115091,72997
ACTR3B,ENSG00000133627,95630
ACTR3C,ENSG00000106526,79810
ACTR5,ENSG00000101442,24064
ACTR6,ENSG00000075089,42744
ACTR8,ENSG00000113812,19161
ACTRT1,ENSG00000123165,1442
ACTRT2,ENSG00000169717,1437
ACTRT3,ENSG00000184378,4056
ACVR1,ENSG00000115170,140099
ACVR1B,ENSG00000135503,45404
ACVR1C,ENSG00000123612,102119
ACVR2A,ENSG00000121989,86449
ACVR2B,ENSG00000114739,39253
ACVRL1,ENSG00000139567,16454
ACY1,ENSG00000243989,6159
ACY3,ENSG00000132744,8350
ACYP1,ENSG00000119640,16263
ACYP2,ENSG00000170634,334463
ADA,ENSG00000196839,67357
ADAD1,ENSG00000164113,50837
ADAD2,ENSG00000140955,6044
ADAL,,
ADAM10,ENSG00000137845,161034
ADAM11,ENSG00000073670,22859
ADAM12,ENSG00000148848,376097
ADAM15,ENSG00000143537,12215
ADAM17,ENSG00000151694,68247
ADAM18,ENSG00000168619,145577
ADAM19,ENSG00000135074,180325
ADAM2,ENSG00000104755,94493
ADAM20,ENSG00000134007,12658
ADAM21,ENSG00000139985,43321
ADAM22,ENSG00000008277,268754
ADAM23,ENSG00000114948,177804
ADAM28,ENSG00000042980,64999
ADAM29,ENSG00000168594,148513
ADAM30,ENSG00000134249,2983
ADAM32,ENSG00000197140,177928
ADAM33,ENSG00000149451,14285
ADAM7,ENSG00000069206,86041
ADAM8,ENSG00000151651,14494
ADAM9,ENSG00000168615,108692
ADAMDEC1,ENSG00000134028,21729
ADAMTS1,ENSG00000154734,9655
ADAMTS10,ENSG00000142303,30496
ADAMTS12,ENSG00000151388,368485
ADAMTS13,ENSG00000160323,45045
ADAMTS14,ENSG00000138316,90075
ADAMTS15,ENSG00000166106,28001
ADAMTS16,ENSG00000145536,179976
ADAMTS17,ENSG00000140470,370569
ADAMTS18,ENSG00000140873,187222
ADAMTS19,ENSG00000145808,278998
ADAMTS2,ENSG00000087116,234609
ADAMTS20,ENSG00000173157,199433
ADAMTS3,ENSG00000156140,288253
ADAMTS4,ENSG00000158859,16208
ADAMTS5,ENSG00000154736,49167
ADAMTS6,ENSG00000049192,333183
ADAMTS7,ENSG00000136378,52300
ADAMTS8,ENSG00000134917,23687
ADAMTS9,ENSG00000163638,172347
ADAMTSL1,ENSG00000178031,1004388
ADAMTSL2,ENSG00000197859,43359
ADAMTSL3,ENSG00000156218,386160
ADAMTSL4,ENSG00000143382,11569
ADAMTSL5,ENSG00000185761,8583
ADAP1,ENSG00000105963,57508
ADAP2,ENSG00000184060,53602
ADAR,ENSG00000160710,46319
ADARB1,ENSG00000197381,152722
ADARB2,ENSG00000185736,560213
ADAT1,ENSG00000065457,26433
ADAT2,ENSG00000189007,27864
ADAT3,ENSG00000213638,8049
ADCK1,ENSG00000063761,134951
ADCK2,ENSG00000133597,23377
ADCK3,,
ADCK4,,
ADCK5,ENSG00000173137,20142
ADCY1,ENSG00000164742,148977
ADCY10,ENSG00000143199,104830
ADCY2,ENSG00000078295,434401
ADCY3,ENSG00000138031,101131
ADCY4,ENSG00000129467,16745
ADCY5,ENSG00000173175,166795
ADCY6,ENSG00000174233,23716
ADCY7,ENSG00000121281,71999
ADCY8,ENSG00000155897,261288
ADCY9,ENSG00000162104,163056
ADCYAP1,ENSG00000141433,7302
ADCYAP1R1,ENSG00000078549,59168
ADD1,ENSG00000087274,86507
ADD2,ENSG00000075340,160882
ADD3,ENSG00000148700,139210
ADGRA1,ENSG00000197177,43752
ADGRA2,ENSG00000020181,60706
ADGRA3,ENSG00000152990,171019
ADGRB1,ENSG00000181790,95580
ADGRB2,ENSG00000121753,37777
ADGRB3,ENSG00000135298,755290
ADGRD1,ENSG00000111452,189412
ADGRE1,ENSG00000174837,52894
ADGRE2,ENSG00000127507,46169
ADGRE3,ENSG00000131355,90948
ADGRE5,ENSG00000123146,28229
ADGRF1,ENSG00000153292,44643
ADGRF2,,
ADGRF3,ENSG00000173567,38645
ADGRF4,ENSG00000153294,36158
ADGRF5,ENSG00000069122,104083
ADGRG1,ENSG00000205336,54929
ADGRG2,ENSG00000173698,133650
ADGRG3,ENSG00000182885,21102
ADGRG4,ENSG00000156920,115928
ADGRG5,ENSG00000159618,49039
ADGRG6,ENSG00000112414,144413
ADGRG7,ENSG00000144820,85879
ADGRL1,ENSG00000072071,58462
ADGRL2,ENSG00000117114,687829
ADGRL3,ENSG00000150471,878010
ADGRL4,ENSG00000162618,392361
ADGRV1,ENSG00000164199,635094
ADH1A,ENSG00000187758,15188
ADH1B,ENSG00000196616,16689
ADH1C,ENSG00000248144,17795
ADH4,ENSG00000198099,34136
ADH5,ENSG00000197894,17824
ADH6,ENSG00000172955,17102
ADH7,ENSG00000196344,23250
ADHFE1,ENSG00000147576,36441
ADI1,ENSG00000182551,22194
ADIG,ENSG00000182035,7269
ADIPOQ,ENSG00000181092,15760
ADIPOR1,ENSG00000159346,18483
ADIPOR2,ENSG00000006831,100107
ADIRF,ENSG00000148671,39491
ADK,ENSG00000156110,558773
ADM,ENSG00000148926,4006
ADM2,ENSG00000128165,4898
ADM5,ENSG00000224420,1623
ADNP,ENSG00000101126,42522
ADNP2,ENSG00000101544,38262
ADO,ENSG00000181915,3760
ADORA1,ENSG00000163485,76754
ADORA2A,ENSG00000128271,25299
ADORA2B,ENSG00000170425,30617
ADORA3,ENSG00000282608,4205
ADPGK,ENSG00000159322,34553
ADPRH,ENSG00000144843,10898
ADPRHL1,ENSG00000153531,53878
ADPRHL2,,
ADPRM,ENSG00000170222,13965
ADRA1A,ENSG00000120907,119129
ADRA1B,ENSG00000170214,107933
ADRA1D,ENSG00000171873,28658
ADRA2A,ENSG00000150594,3879
ADRA2B,ENSG00000274286,3696
ADRA2C,ENSG00000184160,2179
ADRB1,ENSG00000043591,3039
ADRB2,ENSG00000169252,2013
ADRB3,ENSG00000188778,3610
ADRBK1,,
ADRBK2,,
ADRM1,ENSG00000130706,6802
ADSL,ENSG00000239900,44003
ADSS,,
ADSSL1,,
ADTRP,ENSG00000111863,94993
AEBP1,ENSG00000106624,10271
AEBP2,ENSG00000139154,316757
AEN,ENSG00000181026,12212
AES,,
AF131216.1,,
AF165138.7,,
AF196779.12,,
AFAP1,ENSG00000196526,181214
AFAP1L1,ENSG00000157510,71815
AFAP1L2,ENSG00000169129,111172
AFF1,ENSG00000172493,206837
AFF2,ENSG00000155966,500047
AFF4,ENSG00000072364,88240
AFG3L2,ENSG00000141385,48542
AFM,ENSG00000079557,22372
AFMID,ENSG00000183077,20374
AFP,ENSG00000081051,25037
AFTPH,ENSG00000119844,68719
AGA,ENSG00000038002,11671
AGAP1,ENSG00000157985,637751
AGAP2,ENSG00000135439,18397
AGAP3,ENSG00000133612,58606
AGAP4,ENSG00000188234,28282
AGAP5,ENSG00000172650,23823
AGAP6,ENSG00000204149,29465
AGAP9,ENSG00000204172,21785
AGBL2,ENSG00000165923,55799
AGBL3,ENSG00000146856,161456
AGBL4,ENSG00000186094,1491101
AGBL5,ENSG00000084693,28259
AGER,ENSG00000204305,3382
AGFG1,ENSG00000173744,89084
AGFG2,ENSG00000106351,29031
AGGF1,ENSG00000164252,35984
AGK,ENSG00000006530,103967
AGL,ENSG00000162688,74248
AGMAT,ENSG00000116771,13380
AGMO,ENSG00000187546,361701
AGO1,ENSG00000092847,60725
AGO2,ENSG00000123908,115478
AGO3,ENSG00000126070,141805
AGO4,ENSG00000134698,49875
AGPAT1,ENSG00000204310,9892
AGPAT2,ENSG00000169692,14316
AGPAT3,ENSG00000160216,122370
AGPAT4,ENSG00000026652,144129
AGPAT5,ENSG00000155189,53163
AGPAT6,,
AGPAT9,,
AGPS,ENSG00000018510,174449
AGR2,ENSG00000106541,42047
AGR3,ENSG00000173467,22576
AGRN,ENSG00000188157,36000
AGRP,ENSG00000159723,978
AGT,ENSG00000135744,54801
AGTPBP1,ENSG00000135049,195606
AGTR1,ENSG00000144891,45262
AGTR2,ENSG00000180772,4231
AGTRAP,ENSG00000177674,18719
AGXT,ENSG00000172482,12989
AGXT2,ENSG00000113492,50814
AHCTF1,ENSG00000153207,92966
AHCY,ENSG00000101444,31535
AHCYL1,ENSG00000168710,38978
AHCYL2,ENSG00000158467,205191
AHI1,ENSG00000135541,215028
AHNAK,ENSG00000124942,122694
AHNAK2,ENSG00000185567,41131
AHR,ENSG00000106546,429794
AHRR,ENSG00000063438,117610
AHSA1,ENSG00000100591,11740
AHSA2,,
AHSG,ENSG00000145192,8543
AHSP,ENSG00000169877,928
AICDA,ENSG00000111732,11088
AIDA,ENSG00000186063,45198
AIF1,ENSG00000204472,1805
AIF1L,ENSG00000126878,26677
AIFM1,ENSG00000156709,41214
AIFM2,ENSG00000042286,36217
AIFM3,ENSG00000183773,16257
AIG1,ENSG00000146416,280563
AIM1,,
AIM1L,,
AIM2,ENSG00000163568,132094
AIMP1,ENSG00000164022,33913
AIMP2,ENSG00000106305,14580
AIP,ENSG00000110711,22981
AIPL1,ENSG00000129221,41507
AIRE,ENSG00000160224,12811
AJ239318.1,,
AJAP1,ENSG00000196581,137926
AJUBA,ENSG00000129474,11375
AK1,ENSG00000106992,12073
AK2,ENSG00000004455,73011
AK3,ENSG00000147853,32488
AK4,ENSG00000162433,85244
AK5,ENSG00000154027,277948
AK6,ENSG00000085231,19030
AK7,ENSG00000140057,97904
AK8,ENSG00000165695,153205
AK9,ENSG00000155085,198363
AKAP1,ENSG00000121057,36258
AKAP10,ENSG00000108599,74042
AKAP11,ENSG00000023516,51809
AKAP12,ENSG00000131016,118628
AKAP13,ENSG00000170776,368788
AKAP14,ENSG00000186471,24884
AKAP17A,ENSG00000197976,10929
AKAP2,,
AKAP3,ENSG00000111254,35690
AKAP4,ENSG00000147081,10231
AKAP5,ENSG00000179841,9005
AKAP6,ENSG00000151320,508387
AKAP7,ENSG00000118507,148069
AKAP8,ENSG00000105127,26445
AKAP8L,ENSG00000011243,39092
AKAP9,ENSG00000127914,169834
AKIP1,ENSG00000166452,11294
AKIRIN1,ENSG00000174574,14788
AKIRIN2,ENSG00000135334,27396
AKNA,ENSG00000106948,60250
AKNAD1,ENSG00000162641,147587
AKR1A1,ENSG00000117448,19577
AKR1B1,ENSG00000085662,16936
AKR1B10,ENSG00000198074,13846
AKR1C1,ENSG00000187134,20031
AKR1C2,ENSG00000151632,30257
AKR1C3,ENSG00000196139,72333
AKR1C4,ENSG00000198610,25147
AKR1D1,ENSG00000122787,115983
AKR1E2,ENSG00000165568,61434
AKR7A2,ENSG00000053371,10154
AKR7A3,ENSG00000162482,6328
AKT1,ENSG00000142208,30587
AKT1S1,ENSG00000204673,10438
AKT2,ENSG00000105221,55220
AKT3,ENSG00000117020,362847
AKTIP,ENSG00000166971,13910
AL008723.1,,
AL022578.1,,
AL023806.1,,
AL049794.1,,
AL133335.1,,
AL135745.1,,
AL158801.1,,
AL354822.1,,
AL356289.1,,
AL356585.2,,
AL357140.1,,
AL358852.1,,
AL365181.2,,
AL589743.1,,
AL645927.1,,
ALAD,ENSG00000148218,15053
ALAS1,ENSG00000023330,16500
ALAS2,ENSG00000158578,21932
ALB,ENSG00000163631,29494
ALCAM,ENSG00000170017,210204
ALDH16A1,ENSG00000161618,17907
ALDH18A1,ENSG00000059573,50905
ALDH1A1,ENSG00000165092,179773
ALDH1A2,ENSG00000128918,544443
ALDH1A3,ENSG00000184254,54705
ALDH1B1,ENSG00000137124,6039
ALDH1L1,ENSG00000144908,94434
ALDH1L2,ENSG00000136010,87860
ALDH2,ENSG00000111275,50646
ALDH3A1,ENSG00000108602,10960
ALDH3A2,ENSG00000072210,38470
ALDH3B1,ENSG00000006534,20720
ALDH3B2,ENSG00000132746,19070
ALDH4A1,ENSG00000159423,31375
ALDH5A1,ENSG00000112294,42410
ALDH6A1,ENSG00000119711,27646
ALDH7A1,ENSG00000164904,64163
ALDH8A1,ENSG00000118514,32832
ALDH9A1,ENSG00000143149,36382
ALDOA,ENSG00000149925,6294
ALDOB,ENSG00000136872,29105
ALDOC,ENSG00000109107,3834
ALG1,ENSG00000033011,53678
ALG10,ENSG00000139133,7227
ALG10B,ENSG00000175548,12960
ALG11,ENSG00000253710,66842
ALG12,ENSG00000182858,18230
ALG13,ENSG00000101901,94839
ALG14,ENSG00000172339,98547
ALG1L,,
ALG2,ENSG00000119523,5518
ALG3,ENSG00000214160,7248
ALG5,ENSG00000120697,51026
ALG6,ENSG00000088035,70979
ALG8,ENSG00000159063,44417
ALG9,ENSG00000086848,90211
ALK,ENSG00000171094,728813
ALKBH1,ENSG00000100601,35620
ALKBH2,ENSG00000189046,10275
ALKBH3,ENSG00000166199,39464
ALKBH4,ENSG00000160993,8628
ALKBH5,ENSG00000091542,26877
ALKBH6,ENSG00000239382,5178
ALKBH7,ENSG00000125652,2488
ALKBH8,ENSG00000137760,63016
ALLC,ENSG00000151360,44472
ALMS1,ENSG00000116127,239409
ALOX12,ENSG00000108839,14706
ALOX12B,ENSG00000179477,15081
ALOX15,ENSG00000161905,11376
ALOX15B,ENSG00000179593,10124
ALOX5,ENSG00000012779,71972
ALOX5AP,ENSG00000132965,51595
ALOXE3,ENSG00000179148,23148
ALPI,ENSG00000163295,4629
ALPK1,ENSG00000073331,157113
ALPK2,ENSG00000198796,147845
ALPK3,ENSG00000136383,56304
ALPL,ENSG00000162551,69014
ALPP,ENSG00000163283,4166
ALPPL2,,
ALS2,ENSG00000003393,81846
ALS2CL,ENSG00000178038,25078
ALS2CR11,,
ALS2CR12,,
ALX1,ENSG00000180318,21565
ALX3,ENSG00000156150,10803
ALX4,ENSG00000052850,49700
ALYREF,ENSG00000183684,3752
AMACR,ENSG00000242110,21940
AMBN,ENSG00000178522,15033
AMBP,ENSG00000106927,20844
AMBRA1,ENSG00000110497,197712
AMD1,ENSG00000123505,24110
AMDHD1,ENSG00000139344,25420
AMDHD2,ENSG00000162066,11083
AMELX,ENSG00000125363,7349
AMELY,ENSG00000099721,45835
AMER1,ENSG00000184675,20592
AMER2,ENSG00000165566,10610
AMER3,ENSG00000178171,12595
AMFR,ENSG00000159461,64097
AMH,ENSG00000104899,2765
AMHR2,ENSG00000135409,8001
AMICA1,,
AMIGO1,ENSG00000181754,5561
AMIGO2,ENSG00000139211,5196
AMIGO3,ENSG00000176020,2856
AMMECR1,ENSG00000101935,246133
AMMECR1L,ENSG00000144233,24338
AMN,ENSG00000166126,10934
AMN1,ENSG00000151743,57980
AMOT,ENSG00000126016,66329
AMOTL1,ENSG00000166025,170318
AMOTL2,ENSG00000114019,20133
AMPD1,ENSG00000116748,22529
AMPD2,ENSG00000116337,15952
AMPD3,ENSG00000133805,199716
AMPH,ENSG00000078053,247808
AMT,ENSG00000145020,5908
AMTN,ENSG00000187689,14175
AMY1A,ENSG00000237763,14038
AMY1B,ENSG00000174876,13650
AMY1C,ENSG00000187733,13601
AMY2A,ENSG00000243480,8354
AMY2B,ENSG00000240038,25720
AMZ1,ENSG00000174945,96225
AMZ2,ENSG00000196704,52232
ANAPC1,ENSG00000153107,273052
ANAPC10,ENSG00000164162,266916
ANAPC11,ENSG00000141552,10323
ANAPC13,ENSG00000129055,9013
ANAPC15,ENSG00000110200,7311
ANAPC16,ENSG00000166295,19998
ANAPC2,ENSG00000176248,14245
ANAPC4,ENSG00000053900,43101
ANAPC5,ENSG00000089053,91652
ANAPC7,ENSG00000196510,30831
ANG,ENSG00000214274,16022
ANGEL1,ENSG00000013523,44514
ANGEL2,ENSG00000174606,23686
ANGPT1,ENSG00000154188,248574
ANGPT2,ENSG00000091879,63778
ANGPT4,ENSG00000101280,46435
ANGPTL1,ENSG00000116194,22670
ANGPTL2,ENSG00000136859,35298
ANGPTL3,ENSG00000132855,9733
ANGPTL4,ENSG00000167772,11149
ANGPTL5,ENSG00000187151,25849
ANGPTL6,ENSG00000130812,14276
ANGPTL7,ENSG00000171819,6627
ANHX,ENSG00000227059,17566
ANK1,ENSG00000029534,243522
ANK2,ENSG00000145362,566200
ANK3,ENSG00000151150,707193
ANKAR,ENSG00000151687,86904
ANKDD1A,ENSG00000166839,46840
ANKEF1,ENSG00000132623,72178
ANKFN1,ENSG00000153930,634716
ANKFY1,ENSG00000185722,100175
ANKH,ENSG00000154122,167078
ANKHD1,ENSG00000131503,139509
ANKHD1-EIF4EBP3,ENSG00000254996,147662
ANKIB1,ENSG00000001629,156098
ANKK1,ENSG00000170209,12638
ANKLE1,ENSG00000160117,6005
ANKLE2,ENSG00000176915,36330
ANKMY1,ENSG00000144504,89788
ANKMY2,ENSG00000106524,46053
ANKRA2,ENSG00000164331,13523
ANKRD1,ENSG00000148677,9000
ANKRD10,ENSG00000088448,36532
ANKRD11,ENSG00000167522,222943
ANKRD12,ENSG00000101745,149758
ANKRD13A,ENSG00000076513,40578
ANKRD13B,ENSG00000198720,24993
ANKRD13C,ENSG00000118454,95736
ANKRD13D,ENSG00000172932,13196
ANKRD16,ENSG00000134461,28291
ANKRD17,ENSG00000132466,185772
ANKRD18A,ENSG00000180071,80030
ANKRD2,ENSG00000165887,11398
ANKRD20A1,ENSG00000260691,87788
ANKRD20A2,,
ANKRD20A3,,
ANKRD20A4,,
ANKRD22,ENSG00000152766,31949
ANKRD23,ENSG00000163126,33409
ANKRD26,ENSG00000107890,126725
ANKRD27,ENSG00000105186,79598
ANKRD28,ENSG00000206560,192536
ANKRD29,ENSG00000154065,64163
ANKRD30A,ENSG00000148513,106970
ANKRD30B,ENSG00000180777,126396
ANKRD32,,
ANKRD33,ENSG00000167612,3719
ANKRD34A,ENSG00000272031,5135
ANKRD34B,ENSG00000189127,13725
ANKRD34C,ENSG00000235711,15518
ANKRD35,ENSG00000198483,19529
ANKRD36B,ENSG00000196912,97215
ANKRD36C,ENSG00000174501,154913
ANKRD37,ENSG00000186352,4608
ANKRD39,ENSG00000213337,21406
ANKRD40,ENSG00000154945,14717
ANKRD42,ENSG00000137494,66983
ANKRD44,ENSG00000065413,344157
ANKRD45,ENSG00000183831,61516
ANKRD46,ENSG00000186106,50033
ANKRD49,ENSG00000168876,5605
